Qty,Value,Device,Package,Parts,Description,ARROW_PART_NUMBER,ARROW_PRICE-STOCK,AVAILABILITY,CENTROID_NOT_SPECIFIED,CHECK_PRICES,COPYRIGHT,DATASHEET,DESCRIPTION,DIGIKEY_DESCRIPTION,DIGIKEY_PART_NUMBER,HEIGHT,LEAD_FREE,MANUFACTURER_NAME,MANUFACTURER_PART_NUMBER,MF,MFR_NAME,MOUSER_PART_NUMBER,MOUSER_PRICE-STOCK,MOUSER_TESTING_PART_NUMBER,MOUSER_TESTING_PRICE-STOCK,MP,MPN,PACKAGE,POPULARITY,PREFIX,PRICE,PROD_ID,PURCHASE-URL,ROHS,SNAPEDA_LINK,SPICEMODEL,SPICEPREFIX,TEMPERATURE_RANGE_HIGH,TEMPERATURE_RANGE_LOW,TP_SIGNAL_NAME,VALUE
1,,ADAFRUIT_LEDCHIP-LED0603,ADAFRUIT_CHIP-LED0603,CHG_LED,LED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,SJ,SJ,SJ1,"SMD solder JUMPER",,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,
1,0.1uF/50V,ESP32_WROVER_EAGLE-LTSPICE_CC0402,ESP32_WROVER_EAGLE-LTSPICE_C0402,EPD_C5,"CAPACITOR, European symbol",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE,C,,,,
1,0.47,ESP32_WROVER_EAGLE-LTSPICE_RR0402,ESP32_WROVER_EAGLE-LTSPICE_R0402,R3,"RESISTOR, European symbol",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE,R,,,,
1,100k,ESP32_WROVER_EAGLE-LTSPICE_RR0402,ESP32_WROVER_EAGLE-LTSPICE_R0402,R1_PWRUSB,"RESISTOR, European symbol",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE,R,,,,
8,100nF,ESP32_WROVER_EAGLE-LTSPICE_CC0402,ESP32_WROVER_EAGLE-LTSPICE_C0402,"C1, C2, C4_USB, C6, C8, C9, C10, C_DELAY","CAPACITOR, European symbol",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE,C,,,,
1,100uF,RCL_CPOL-EUCT3528,RCL_CT3528,C3,"POLARIZED CAPACITOR, European symbol",,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,C,,,,
16,10K,ESP32_WROVER_EAGLE-LTSPICE_RR0402,ESP32_WROVER_EAGLE-LTSPICE_R0402,"R1, R1-PINH, R1-PINH1, R2-PINH, R2-PINH1, R4, R5, R6, R7, R8, R9, R10, R_BOOT, R_CHANGE, R_CL1, R_RESET","RESISTOR, European symbol",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE,R,,,,
1,10uF,ESP32_WROVER_EAGLE-LTSPICE_CC0402,ESP32_WROVER_EAGLE-LTSPICE_C0402,C7,"CAPACITOR, European symbol",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE,C,,,,
1,112A-TAAR-R03_ATTEND,112A-TAAR-R03_ATTEND,112ATAARR03ATTEND,J4,"Micro SD Card Socket, Push-Push Type, Top Mount, SMT, H=1.83mm, 10u",,,,,,,,"Micro SD Card Socket"," Push-Push Type"," Top Mount"," SMT"," H=1.83mm"," 10u",,,1.9mm,,ATTEND,"112A-TAAR-R03 ATTEND",,,,,,,,,,,,,,,,,
1,15,ESP32_WROVER_EAGLE-LTSPICE_RR0402,ESP32_WROVER_EAGLE-LTSPICE_R0402,R_CAPACITOR,"RESISTOR, European symbol",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE,R,,,,
1,1uF,ESP32_WROVER_EAGLE-LTSPICE_CC0402,ESP32_WROVER_EAGLE-LTSPICE_C0402,C5,"CAPACITOR, European symbol",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE,C,,,,
9,1uF/50V,ESP32_WROVER_EAGLE-LTSPICE_CC0402,ESP32_WROVER_EAGLE-LTSPICE_C0402,"EPD_C1, EPD_C2, EPD_C6, EPD_C7, EPD_C8, EPD_C9, EPD_C10, EPD_C11, EPD_C12","CAPACITOR, European symbol",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE,C,,,,
1,2.2,ESP32_WROVER_EAGLE-LTSPICE_RR0402,ESP32_WROVER_EAGLE-LTSPICE_R0402,R2,"RESISTOR, European symbol",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE,R,,,,
1,200,ESP32_WROVER_EAGLE-LTSPICE_RR0402,ESP32_WROVER_EAGLE-LTSPICE_R0402,R1_BAT,"RESISTOR, European symbol",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE,R,,,,
2,20V/4.2A/52mO/1.4W,ESP32_WROVER_SPARKFUN-DISCRETESEMI_MOSFET_PCH-DMG2305UX-7,ESP32_WROVER_SPARKFUN-DISCRETESEMI_SOT23-3,"Q1, Q2","P-channel MOSFETs",,,,,,,,,,,,,,,,,,,,,,,,,,,TRAN-14388,,,,,,,,,20V/4.2A/52mO/1.4W
1,2K,ESP32_WROVER_EAGLE-LTSPICE_RR0402,ESP32_WROVER_EAGLE-LTSPICE_R0402,R2_BAT,"RESISTOR, European symbol",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE,R,,,,
5,4.7uF,ESP32_WROVER_EAGLE-LTSPICE_CC0402,ESP32_WROVER_EAGLE-LTSPICE_C0402,"C1_BAT, C1_BAT1, C1_BAT2, C2_BAT, C5_USB","CAPACITOR, European symbol",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE,C,,,,
1,4.7uF/25V,ESP32_WROVER_EAGLE-LTSPICE_CC0402,ESP32_WROVER_EAGLE-LTSPICE_C0402,C4,"CAPACITOR, European symbol",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE,C,,,,
2,5k1,ESP32_WROVER_EAGLE-LTSPICE_RR0402,ESP32_WROVER_EAGLE-LTSPICE_R0402,"R2-USB, R2-USB1","RESISTOR, European symbol",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE,R,,,,
1,68uH,744043680IND_4828-WE-TPC_WRE,IND_4828-WE-TPC_WRE,L1,,,,,,,"Copyright (C) 2024 Ultra Librarian. All rights reserved.",,,,,,,,744043680,,"Wurth Electronics",,,,,,,,,,,,,,,,,,,,
